id;street_address;postal_code;city;state_province
1;instruct atop;strictly;Lake Lenniecester;warmly
2;outside consequently;blah duh piracy;Thompsonberg;onto respectful wherever
3;redecorate tortellini;dispatch throughout;Port Shanie;fault
4;between easily without;guess through;Barrowsstead;after
5;zowie oh fancy;beneath tugboat question;Blaine;neat
6;wrestle till sleepwalk;loftily;Lake Dewayne;yellow boohoo
7;envisage;um;Kirlinworth;itchy
8;fully diver sheepishly;yield;Port Briellechester;lovingly disloyal
9;encumber perspire aw;laugh whoa;Effertzville;reckon huzzah
10;tear;remind;Port Mandy;consequently
